"name","description","price","image","room"
"chips","a package of the brand of chips that you and your grandpa like to snack on while playing a round of Chess","0","chips-snack-svgrepo-com.svg","pantry"
"beans","a can of kidney beans dated with '1999-10-12'","0","beans-svgrepo-com.svg","pantry"
"jam","a jar of strawberry jam that your grandma made last summer","0","jam-breakfast-svgrepo-com.svg","pantry"
"sugar","a decorative jar of sugar","0","sugar-svgrepo-com.svg","pantry"
"salt","an opened jar of fine salt","0","salt-svgrepo-com.svg","pantry"
"vanilla","a small bottle of vanilla extract","0","syrup-svgrepo-com.svg","pantry"
"flour","a bag of wheat flour","0","flour-svgrepo-com.svg","pantry"
"cookies","jar of cookies that your grandma likes to serve for fika","0","cookies-svgrepo-com.svg","pantry"
"ketchup","a unopened bottle of ketchup","0","ketchup-svgrepo-com.svg","pantry"
"strawberries","a handful of beautiful strawberries","0","strawberries-svgrepo-com.svg","garden"
"tomatoes","a handful of ripe tomatoes","0","tomato-svgrepo-com.svg","garden"
"mangold","a head of mangold","0","leafy-green-svgrepo-com.svg","garden"
"carrots","orange carrots","0","carrots-carrot-svgrepo-com.svg","garden"
"potatoes","a bag of potatoes","45","potato-svgrepo-com.svg","farm"
"corn","a basket full with corn cobs","58","corn-svgrepo-com.svg","farm"
"cream","a bottle of heavy cream","20","ice-cream-yogurt-svgrepo-com.svg","farm"
"milk","a bottle of fresh milk","20","milk-svgrepo-com.svg","farm"
"eggs","a small basket of eggs","42","eggs-protein-svgrepo-com.svg","farm"
"butter","a block of butter","30","butter-svgrepo-com.svg","farm"
"honey","a jar of honey","99","honey-svgrepo-com.svg","farm"
